Domain,Type,Sponsoring Organisation,Date
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-06-12
.eat,generic,Charleston Road Registry Inc.,2025-06-12
.education,generic,"Brice Way, LLC",2025-06-12
.email,generic,"Spring Madison, LLC",2025-06-12
.emerck,generic,Merck KGaA,2025-06-12
.energy,generic,"Binky Birch, LLC",2025-06-12
.engineer,generic,United TLD Holdco Ltd.,2025-06-12
.engineering,generic,Romeo Canyon,2025-06-12
.enterprises,generic,"Snow Oaks, LLC",2025-06-12
.epson,generic,Seiko Epson Corporation,2025-06-12
.equipment,generic,"Corn Station, LLC",2025-06-12
.erni,generic,ERNI Group Holding AG,2025-06-12
.esq,generic,Charleston Road Registry Inc.,2025-06-12
.estate,generic,"Trixy Park, LLC",2025-06-12
.eurovision,generic,European Broadcasting Union (EBU),2025-06-12
.eus,generic,Puntueus Fundazioa,2025-06-12
.events,generic,"Pioneer Maple, LLC",2025-06-12
.everbank,generic,EverBank,2025-06-12
.exchange,generic,"Spring Falls, LLC",2025-06-12
.expert,generic,"Magic Pass, LLC",2025-06-12
.exposed,generic,"Victor Beach, LLC",2025-06-12
.express,generic,"Sea Sunset, LLC",2025-06-12
.fail,generic,"Atomic Pipe, LLC",2025-06-12
.faith,generic,dot Faith Limited,2025-06-12
.fan,generic,Asiamix Digital Ltd,2025-06-12
.fans,generic,Asiamix Digital Limited,2025-06-12
.farm,generic,"Just Maple, LLC",2025-06-12
.fashion,generic,Top Level Domain Holdings Limited,2025-06-12
.feedback,generic,"Top Level Spectrum, Inc.",2025-06-12
.film,generic,Motion Picture Domain Registry Pty Ltd,2025-06-12
.finance,generic,"Cotton Cypress, LLC",2025-06-12
.financial,generic,"Just Cover, LLC",2025-06-12
.firmdale,generic,Firmdale Holdings Limited,2025-06-12
.fish,generic,"Fox Woods, LLC",2025-06-12
.fishing,generic,Top Level Domain Holdings Limited,2025-06-12
.fit,generic,Minds + Machines Group Limited,2025-06-12
.fitness,generic,"Brice Orchard, LLC",2025-06-12
.flights,generic,"Fox Station, LLC",2025-06-12
.florist,generic,"Half Cypress, LLC",2025-06-12
.flowers,generic,"Uniregistry, Corp.",2025-06-12
.flsmidth,generic,FLSmidth A/S,2025-06-12
.fly,generic,Charleston Road Registry Inc.,2025-06-12
.foo,generic,Charleston Road Registry Inc.,2025-06-12
.football,generic,"Foggy Farms, LLC",2025-06-12
.forex,generic,DOTFOREX REGISTRY LTD,2025-06-12
.forsale,generic,"United TLD Holdco, LLC",2025-06-12
.foundation,generic,"John Dale, LLC",2025-06-12
.frl,generic,FRLregistry B.V.,2025-06-12
.frogans,generic,OP3FT,2025-06-12
.fund,generic,"John Castle, LLC",2025-06-12
.furniture,generic,"Lone Fields, LLC",2025-06-12
.futbol,generic,"United TLD Holdco, Ltd.",2025-06-12
.gal,generic,Asociación puntoGAL,2025-06-12
.gallery,generic,"Sugar House, LLC",2025-06-12
.garden,generic,Top Level Domain Holdings Limited,2025-06-12
.gbiz,generic,Charleston Road Registry Inc.,2025-06-12
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2025-06-12
.gent,generic,COMBELL GROUP NV/SA,2025-06-12
.ggee,generic,"GMO Internet, Inc.",2025-06-12
.gift,generic,"Uniregistry, Corp.",2025-06-12
.gifts,generic,"Goose Sky, LLC",2025-06-12
.gives,generic,United TLD Holdco Ltd.,2025-06-12
.glass,generic,"Black Cover, LLC",2025-06-12
.gle,generic,Charleston Road Registry Inc.,2025-06-12
.global,generic,Dot Global Domain Registry Limited,2025-06-12
.globo,generic,Globo Comunicação e Participações S.A,2025-06-12
.gmail,generic,Charleston Road Registry Inc.,2025-06-12
.gmo,generic,"GMO Internet, Inc.",2025-06-12
.gmx,generic,1&1 Mail & Media GmbH,2025-06-12
.gold,generic,"June Edge, LLC",2025-06-12
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",2025-06-12
.golf,generic,"Lone Falls, LLC",2025-06-12
.goo,generic,NTT Resonant Inc.,2025-06-12
.goog,generic,Charleston Road Registry Inc.,2025-06-12
.google,generic,Charleston Road Registry Inc.,2025-06-12
.gop,generic,"Republican State Leadership Committee, Inc.",2025-06-12
.graphics,generic,"Over Madison, LLC",2025-06-12
.gratis,generic,"Pioneer Tigers, LLC",2025-06-12
.green,generic,Afilias Limited,2025-06-12
.gripe,generic,"Corn Sunset, LLC",2025-06-12
.guge,generic,Charleston Road Registry Inc.,2025-06-12
.guide,generic,"Snow Moon, LLC",2025-06-12
.guitars,generic,"Uniregistry, Corp.",2025-06-12
.guru,generic,"Pioneer Cypress, LLC",2025-06-12
.hamburg,generic,Hamburg Top-Level-Domain GmbH,2025-06-12
.hangout,generic,Charleston Road Registry Inc.,2025-06-12
.haus,generic,"United TLD Holdco, LTD.",2025-06-12
.healthcare,generic,"Silver Glen, LLC",2025-06-12
.help,generic,"Uniregistry, Corp.",2025-06-12
.here,generic,Charleston Road Registry Inc.,2025-06-12
.hermes,generic,Hermes International,2025-06-12
.hiphop,generic,"Uniregistry, Corp.",2025-06-12
.hiv,generic,dotHIV gemeinnuetziger e.V.,2025-06-12
.holdings,generic,"John Madison, LLC",2025-06-12
.holiday,generic,"Goose Woods, LLC",2025-06-12
.homes,generic,"DERHomes, LLC",2025-06-12
.horse,generic,Top Level Domain Holdings Limited,2025-06-12
.host,generic,DotHost Inc.,2025-06-12
.hosting,generic,"Uniregistry, Corp.",2025-06-12
.house,generic,"Sugar Park, LLC",2025-06-12
.how,generic,Charleston Road Registry Inc.,2025-06-12
.ibm,generic,International Business Machines Corporation,2025-06-12
.ifm,generic,ifm electronic gmbh,2025-06-12
.immo,generic,"Auburn Bloom, LLC",2025-06-12
.immobilien,generic,United TLD Holdco Ltd.,2025-06-12
.industries,generic,"Outer House, LLC",2025-06-12
.infiniti,generic,"NISSAN MOTOR CO., LTD.",2025-06-12
.info,generic,Afilias Limited,2025-06-12
.ing,generic,Charleston Road Registry Inc.,2025-06-12
.ink,generic,"Top Level Design, LLC",2025-06-12
.institute,generic,"Outer Maple, LLC",2025-06-12
.insure,generic,"Pioneer Willow, LLC",2025-06-12
.international,generic,"Wild Way, LLC",2025-06-12
.investments,generic,"Holly Glen, LLC",2025-06-12
.irish,generic,Dot-Irish LLC,2025-06-12
.iwc,generic,Richemont DNS Inc.,2025-06-12
.java,generic,Oracle Corporation,2025-06-12
.jcb,generic,"JCB Co., Ltd.",2025-06-12
.jetzt,generic,New TLD Company AB,2025-06-12
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2025-06-12
.juegos,generic,"Uniregistry, Corp.",2025-06-12
.kaufen,generic,United TLD Holdco Ltd.,2025-06-12
.kddi,generic,KDDI CORPORATION,2025-06-12
.kim,generic,Afilias Limited,2025-06-12
.kitchen,generic,"Just Goodbye, LLC",2025-06-12
.kiwi,generic,DOT KIWI LIMITED,2025-06-12
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2025-06-12
.komatsu,generic,Komatsu Ltd.,2025-06-12
.krd,generic,KRG Department of Information Technology,2025-06-12
.kred,generic,KredTLD Pty Ltd,2025-06-12
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2025-06-12
.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,2025-06-12
.land,generic,"Pine Moon, LLC",2025-06-12
.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,2025-06-12
.latrobe,generic,La Trobe University,2025-06-12
.lawyer,generic,"United TLD Holdco, Ltd",2025-06-12
